Distance_km,Value
1,4.676745585922317e-07
2,6.316511268986178e-08
3,2.583374626494356e-07
4,3.056708821521224e-06
5,6.990604916198549e-06
6,1.6579788230406074e-05
7,5.3007311865598303e-05
8,0.0001778514598773121
9,0.0004889737391643692
10,0.001133896962913535
11,0.0041677858429247806
12,0.010578001250775342
13,0.021949887730683248
14,0.039735893729079354
15,0.08051025287493849
16,0.15171388583484197
17,0.23103733763286952
18,0.3292781690981366
19,0.3961469714889708
20,0.4353915205307704
21,0.4407861332592411
22,0.47313639562848914
23,0.6158231912143768
24,0.7551331527675286
25,0.9731783860005201
26,0.8065459133643623
27,0.603782636552423
28,0.47051191666088843
29,0.3457108472829336
30,0.2630667311995461
31,0.16646698298858228
32,0.14561256760384897
33,0.1248921995626402
34,0.10186950079771027
35,0.10048135716310813
36,0.08931349501510885
37,0.08869714226910864
38,0.11779063179172387
39,0.14901667144851846
40,0.1913807364522098
41,0.2638950441107792
42,0.32182194113161877
43,0.3821353519861506
44,0.4546136079614055
45,0.5271807876199536
46,0.5843061859815483
47,0.7036307733845014
48,0.7603418929140084
49,0.9115707378719025
50,0.9273958348646963
51,0.9306650442374614
52,0.7498448720451547
53,0.5528293064979046
54,0.6183888067135116
55,0.676635812606745
56,0.756110799976253
57,0.9781902736952622
58,0.5247695642349962
59,0.4088755605175047
60,0.15334719989046372
61,0.17405111891789007
62,0.2194484665275266
63,0.22221092239634585
64,0.3304420587713
